Veteran,LoanAmountRequested,Status,PropertyState
0,330000,2,TX
0,330000,2,TX
0,330000,2,TX
0,330000,2,TX
0,330000,2,TX
0,85000,1,CO
0,110000,2,TX
0,110000,2,TX
0,110000,2,TX
0,110000,2,TX
0,110000,2,TX
0,335000,2,CA
0,335000,2,CA
0,335000,2,CA
0,335000,2,CA
0,335000,2,CA
0,435000,2,CA
0,435000,2,CA
0,435000,2,CA
0,435000,2,CA
0,435000,2,CA
0,435000,2,CA
0,435000,2,CA
0,435000,2,CA
0,435000,2,CA
0,435000,2,CA
0,435000,2,CA
0,410000,2,CA
0,410000,2,CA
0,410000,2,CA
0,410000,2,CA
0,410000,2,CA
0,410000,2,CA
0,410000,2,CA
0,410000,2,CA
0,410000,2,CA
0,410000,2,CA
0,410000,2,CA
0,410000,2,CA
0,410000,2,CA
0,410000,2,CA
0,410000,2,CA
0,410000,2,CA
0,410000,2,CA
0,410000,2,CA
0,410000,2,CA
0,410000,2,CA
0,70000,1,MA
0,70000,2,MA
0,70000,1,MA
0,70000,1,MA
0,70000,1,MA
0,70000,2,MA
0,70000,2,MA
0,70000,1,MA
0,100000,2,NC
0,100000,2,NC
0,100000,2,NC
0,100000,2,NC
0,100000,2,NC
0,60000,2,PA
0,60000,2,PA
0,200000,1,TX
1,120000,1,TX
1,120000,2,TX
1,120000,2,TX
1,120000,2,TX
1,120000,2,TX
1,120000,2,TX
1,120000,2,TX
1,120000,2,TX
1,120000,2,TX
1,120000,2,TX
1,120000,2,TX
1,120000,2,TX
1,120000,2,TX
1,120000,2,TX
1,120000,2,TX
1,120000,2,TX
1,120000,2,TX
1,120000,2,TX
1,120000,1,TX
1,120000,2,TX
1,120000,2,TX
1,120000,2,TX
1,120000,2,TX
1,120000,2,TX
1,120000,2,TX
1,120000,2,TX
0,375000,2,ID
0,375000,2,ID
0,375000,2,ID
0,375000,2,ID
0,375000,2,ID
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
